task,acc
mixed,0.825
motor,0.89
mem,0.9100000000000001
mixed,0.73
motor,0.905
mem,0.99
mixed,0.8250000000000002
motor,0.99
mem,0.8499999999999999
mixed,0.885
motor,0.8699999999999999
mem,0.885
mixed,0.6300000000000001
motor,0.7499999999999999
mem,0.6850000000000002
mixed,0.9800000000000001
motor,0.9800000000000001
mem,0.9949999999999999
mixed,0.7949999999999999
motor,0.985
mem,0.95
mixed,0.8549999999999999
motor,0.755
mem,1.0
mixed,0.875
motor,0.8700000000000001
mem,0.985
mixed,0.7649999999999999
motor,0.8900000000000002
mem,0.9949999999999999
mixed,0.7999999999999999
motor,0.85
mem,1.0
mixed,0.725
motor,0.745
mem,0.95
mixed,0.8149999999999998
motor,0.925
mem,0.975
mixed,0.6700000000000002
motor,0.7849999999999999
mem,0.9150000000000003
mixed,0.5499999999999999
motor,0.8499999999999999
mem,0.665
mixed,0.825
motor,1.0
mem,0.6799999999999999
mixed,0.765
motor,0.9549999999999998
mem,0.915
mixed,0.9000000000000001
motor,0.9450000000000001
mem,0.9349999999999999
mixed,0.5499999999999999
motor,0.8800000000000002
mem,0.985
mixed,0.5999999999999999
motor,0.8949999999999999
mem,0.7100000000000001
mixed,0.5599999999999999
motor,0.9099999999999999
mem,0.9400000000000001
mixed,0.9549999999999998
motor,1.0
mem,0.9949999999999999
mixed,0.8800000000000001
motor,0.99
mem,0.925
mixed,0.8049999999999999
motor,0.97
mem,0.985
mixed,0.85
motor,0.9550000000000001
mem,0.875
mixed,0.99
motor,0.89
mem,0.9800000000000001
mixed,0.6850000000000002
motor,0.9850000000000001
mem,0.95
mixed,0.915
motor,0.97
mem,0.9949999999999999
mixed,0.8699999999999999
motor,0.9100000000000001
mem,1.0
mixed,0.58
motor,0.8949999999999999
mem,0.7999999999999999
mixed,0.9200000000000002
motor,0.9800000000000001
mem,0.9400000000000001
mixed,0.77
motor,0.95
mem,0.825
mixed,0.865
motor,0.9000000000000001
mem,1.0
mixed,0.915
motor,0.9000000000000001
mem,0.905
mixed,0.805
motor,0.905
mem,0.9000000000000001
mixed,0.8300000000000001
motor,0.9
mem,1.0
mixed,0.735
motor,0.9400000000000001
mem,0.8800000000000002
mixed,0.78
motor,0.8949999999999999
mem,0.9799999999999999
mixed,0.9399999999999998
motor,0.9399999999999998
mem,0.9199999999999999
mixed,0.7300000000000001
motor,0.915
mem,0.9400000000000001
mixed,0.85
motor,0.8600000000000001
mem,0.9800000000000001
mixed,0.845
motor,0.82
mem,0.9949999999999999
mixed,0.925
motor,0.6649999999999999
mem,1.0
mixed,0.7699999999999999
motor,0.6799999999999999
mem,0.95
mixed,0.6099999999999999
motor,0.86
mem,0.9349999999999999
mixed,0.64
motor,0.945
mem,0.89
mixed,0.505
motor,0.9199999999999999
mem,0.8950000000000001
mixed,0.5449999999999999
motor,0.9
mem,0.8600000000000001
mixed,0.57
motor,0.93
mem,0.9400000000000001
mixed,0.6500000000000001
motor,0.8099999999999999
mem,0.975
mixed,0.55
motor,0.85
mem,0.9549999999999998
mixed,0.6
motor,0.875
mem,0.985
mixed,0.7000000000000001
motor,0.885
mem,0.9400000000000001
mixed,0.635
motor,0.7899999999999999
mem,0.905
mixed,0.65
motor,0.635
mem,0.8249999999999998
mixed,0.5499999999999999
motor,0.9099999999999999
mem,0.67
